,word,polarity,sentiment
376,abusadores,adj,-1
377,abusados,adj,-1
378,abusar,vb,1
379,abusiva,adj,-1
380,abusivas,adj,-1
381,abusivo,adj,-1
382,abusivos,adj,-1
383,abuzinar,vb,1
384,acabada,adj,-1
385,acabadas,adj,-1
386,acabado,adj,-1
387,acabados,adj,-1
388,acabadota,adj,-1
389,acabadotas,adj,-1
390,acabadote,adj,-1
391,acabadotes,adj,-1
392,acabamento,adj,1
393,acabar-se,vb,0
394,acabar,vb,0
395,acabrunhada,adj,-1
396,acabrunhadas,adj,-1
397,acabrunhado,adj,-1
398,acabrunhados,adj,-1
399,acabrunhar,vb,0
400,açacalado,adj,1
401,acaçapar,vb,1
402,acachar,vb,1
403,acaciana,adj,-1
404,acacianas,adj,-1
405,acaciano,adj,-1
406,acacianos,adj,-1
407,acadêmica,adj,0
408,académica,adj,-1
409,acadêmicas,adj,0
410,académicas,adj,-1
411,acadêmico,adj,0
412,académico,adj,-1
413,acadêmicos,adj,0
414,académicos,adj,-1
415,acafelar,vb,1
416,acaiçarado,adj,-1
417,açaimar,vb,0
418,acalentar-se,vb,1
419,acalentar,vb,0
420,acalmar-se,vb,1
421,acalmar,vb,0
422,acalorada,adj,0
423,acaloradas,adj,0
424,acalorado,adj,0
425,acalorados,adj,0
426,acalorar-se,vb,1
427,acalorar,vb,1
428,acamar,vb,1
429,açambarcadora,adj,-1
430,açambarcador,adj,-1
431,açambarcadoras,adj,-1
432,açambarcadores,adj,-1
433,açambarcar,vb,0
434,acambetar,vb,0
435,acampanar,vb,0
436,acanalar,vb,0
437,acanalhar,vb,1
438,acanavear,vb,-1
439,acanelar,vb,0
440,acanhada,adj,-1
441,acanhadas,adj,-1
442,acanhado,adj,-1
443,acanhados,adj,-1
444,acanhar,vb,-1
445,acapelado,adj,1
446,acapelar,vb,0
447,acarar,vb,1
448,acarear,vb,1
449,acariciar,vb,0
450,acarinhada,adj,-1
451,acarinhadas,adj,-1
452,acarinhado,adj,-1
453,acarinhados,adj,-1
454,acarinhar,vb,1
455,acarminar,vb,0
456,acaroar,vb,0
457,acarpetar,vb,1
458,acarrancado,adj,-1
459,acarrar,vb,1
460,acarrear,vb,1
461,acarretar,vb,1
462,acasalar,vb,1
463,acastelar,vb,1
464,acatada,adj,1
465,acatadas,adj,1
466,acatado,adj,1
467,acatadora,adj,0
468,acatador,adj,0
469,acatadoras,adj,0
470,acatadores,adj,0
471,acatados,adj,1
472,acatar,vb,0
473,acatingado,adj,-1
474,acautelada,adj,0
475,acauteladas,adj,0
476,acautelado,adj,0
477,acautelados,adj,0
478,acautelar,vb,-1
479,acavalar,vb,1
480,accionada,adj,-1
481,accionadas,adj,-1
482,accionado,adj,-1
483,accionados,adj,-1
484,aceder,vb,1
485,acéfala,adj,-1
486,acéfalas,adj,-1
487,acéfalo,adj,-1
488,acéfalos,adj,-1
489,aceirar,vb,1
490,aceita,adj,0
491,aceitar,vb,1
492,aceitas,adj,0
493,aceitáveis,adj,1
494,aceitável,adj,1
495,aceite,adj,0
496,aceites,adj,0
497,aceito,adj,0
498,aceitos,adj,0
499,acelerada,adj,0
500,aceleradas,adj,0
501,acelerado,adj,0
502,acelerados,adj,0
503,acelerar,vb,0
504,acenar,vb,1
505,acender-se,vb,1
506,acender,vb,0
507,acendrar,vb,0
508,acentuada,adj,0
509,acentuadas,adj,0
510,acentuado,adj,0
511,acentuados,adj,0
512,acentuar,vb,1
513,acerada,adj,-1
514,aceradas,adj,-1
515,acerado,adj,-1
516,acerados,adj,-1
517,acerar,vb,1
518,acerba,adj,-1
519,acerbas,adj,-1
520,acerbo,adj,-1
521,acerbos,adj,-1
522,acercar-se,vb,0
523,acercar,vb,0
524,aceroso,adj,1
525,acérrima,adj,-1
526,acérrimas,adj,-1
527,acérrimo,adj,-1
528,acérrimos,adj,-1
529,acertada,adj,1
530,acertadas,adj,1
531,acertado,adj,1
532,acertados,adj,1
533,acertar,vb,0
534,acesa,adj,0
535,acesas,adj,0
536,aceso,adj,0
537,acesos,adj,0
538,acessíveis,adj,1
539,acessível,adj,1
540,acético,adj,-1
541,achacada,adj,-1
542,achacadas,adj,-1
543,achacado,adj,-1
544,achacados,adj,-1
545,achada,adj,0
546,achadas,adj,0
547,achado,adj,0
548,achados,adj,0
549,achamboado,adj,-1
550,achambonado,adj,-1
551,achanar,vb,1
552,achar-se,vb,1
553,achar,vb,1
554,achatada,adj,-1
555,achatadas,adj,-1
556,achatado,adj,-1
557,achatados,adj,-1
558,achatar,vb,0
559,achavascado,adj,-1
560,achegada,adj,1
561,achegadas,adj,1
562,achegado,adj,1
563,achegados,adj,1
564,achegar-se,vb,1
565,achegar,vb,0
566,achinesada,adj,0
567,achinesadas,adj,0
568,achinesado,adj,0
569,achinesados,adj,0
570,acicalado,adj,1
571,acidentada,adj,-1
572,acidentadas,adj,-1
573,acidentado,adj,-1
574,acidentados,adj,-1
575,acidental,adj,-1
576,acidentário,adj,-1
577,acidentar,vb,1
578,acidificar,vb,1
579,ácido,adj,-1
580,aciganada,adj,-1
581,aciganadas,adj,-1
582,aciganado,adj,-1
583,aciganados,adj,-1
584,acintosa,adj,-1
585,acintosas,adj,-1
586,acintoso,adj,-1
587,acintosos,adj,-1
588,acionar,vb,1
589,acirrada,adj,1
590,acirradas,adj,-1
591,acirrado,adj,-1
592,acirrados,adj,-1
593,acirrar,vb,0
594,aclamada,adj,0
595,aclamadas,adj,0
596,aclamado,adj,0
597,aclamados,adj,0
598,aclamar,vb,0
599,aclarado,adj,1
600,aclarar-se,vb,1
601,aclarar,vb,-1
602,aclarecer,vb,0
603,aclimar-se,vb,1
604,aclimar,vb,1
605,aclimatar-se,vb,1
606,aclimatar,vb,1
607,aclimatizar-se,vb,1
608,aclimatizar,vb,1
609,aclive,adj,-1
610,aclivoso,adj,-1
611,acoar,vb,0
612,acobardada,adj,-1
613,acobardadas,adj,-1
614,acobardado,adj,-1
615,acobardados,adj,-1
616,acobardar,vb,1
617,acobertada,adj,-1
618,acobertadas,adj,-1
619,acobertado,adj,-1
620,acobertados,adj,-1
621,acobertar,vb,-1
622,acoberto,adj,-1
623,acobreada,adj,0
624,acobreadas,adj,0
625,acobreado,adj,0
626,acobreados,adj,0
627,acocada,adj,-1
628,acocadas,adj,-1
629,acocado,adj,-1
